"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Weekly U.S. Influenza Surveillance Report | Seasonal Influenza (Flu) | CDC https://t.co/cLdvo5w3Sz via @CDCgov",FALSE,0,NA,2018-03-09 22:37:31,FALSE,NA,"972239988699140099",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","raparsi",0,FALSE,FALSE,NA,NA
"2","RT @sanofipasteur: “2 influenza virus strains changed, compared to last year. It requires new development, formulation and testing to ensur…",FALSE,0,NA,2018-03-09 22:00:24,FALSE,NA,"972230650400071680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bs_holli",6,TRUE,FALSE,NA,NA
"3","RT @FluTrackers: Italy, influenza season 2017-18: 681 serious cases and 139 deaths https://t.co/Ne7lsi4hTN h/t tetano",FALSE,0,NA,2018-03-09 21:05:39,FALSE,NA,"972216870022668288",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","H7N9Influenza",1,TRUE,FALSE,NA,NA
"4","Influenza Prevention: Information for Travelers | Seasonal Influenza (Flu) | CDC https://t.co/3QVLDj8pKg via @CDCgov",FALSE,0,NA,2018-03-09 20:49:38,FALSE,NA,"972212838512111617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoannaTierno",0,FALSE,FALSE,NA,NA
"5","Weekly U.S. Influenza Surveillance Report | Seasonal Influenza (Flu) | CDC https://t.co/uSThZxImet via @CDCgov",FALSE,0,NA,2018-03-09 20:22:25,FALSE,NA,"972205990757023744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gate_15_Analyst",0,FALSE,FALSE,NA,NA
"6","Flu-Free Tip: Wash your hands frequently. The flu virus can stay viable for up to 24 hours on non-porous surfaces.… https://t.co/x8NM7y0b2w",FALSE,0,NA,2018-03-09 19:55:07,TRUE,NA,"972199121116385280",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Medxcel",0,FALSE,FALSE,NA,NA
"7","#PODCAST: Dr Angela Campbell, from the @CDCgov Influenza Division, discusses preventing flu via #vaccination, treat… https://t.co/gV3irKCII4",FALSE,0,NA,2018-03-09 19:00:34,TRUE,NA,"972185392890998784",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Consultant360",0,FALSE,FALSE,NA,NA
"8","RT @dailytimespak: “We cannot say for sure which virus will be circulating,” Wenqing Zhang, head of the WHO’s global influenza programme, t…",FALSE,0,NA,2018-03-09 18:54:47,FALSE,NA,"972183936603508736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AamnaTaseer",1,TRUE,FALSE,NA,NA
"9","David Brenner found in a recent study that far-UVC light can kill the influenza virus without hurting people’s skin… https://t.co/99VTLb57wY",FALSE,1,NA,2018-03-09 18:46:16,TRUE,NA,"972181791594434561",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MichiganRadio",1,FALSE,FALSE,NA,NA
"10","“We cannot say for sure which virus will be circulating,” Wenqing Zhang, head of the WHO’s global influenza program… https://t.co/STxR8ja0wP",FALSE,2,NA,2018-03-09 18:40:00,TRUE,NA,"972180215970566144",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","dailytimespak",1,FALSE,FALSE,NA,NA
"11","[Weekly U.S. Influenza Surveillance Report | Seasonal Influenza (Flu) | CDC] is good,have a look at it!… https://t.co/Z4wB9uoHoT",FALSE,0,NA,2018-03-09 18:24:29,TRUE,NA,"972176310234595328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kevinpjones",0,FALSE,FALSE,NA,NA
"12","For people with #Heart failure, getting a seasonal influenza (flu) vaccine in a given year was associated with a 50… https://t.co/jQVQ5o4Oq3",FALSE,0,NA,2018-03-09 18:01:02,TRUE,NA,"972170408647712768",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AFHSBPAGE",0,FALSE,FALSE,NA,NA
"13","������ This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/O3n8mBUZqh... https://t.co/ffun49HI2o",FALSE,0,NA,2018-03-09 17:48:37,FALSE,NA,"972167286751719425",NA,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","jimsabogal",0,FALSE,FALSE,NA,NA
"14","USA: CDC reports 9,402 direct cause #Influenza deaths weeks 40-7. Significantly higher than toll for corresponding… https://t.co/eugAjrl82D",FALSE,0,NA,2018-03-09 17:04:51,TRUE,NA,"972156271402024963",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RonanKelly13",0,FALSE,FALSE,NA,NA
"15","RT ACCmediacenter: New research from #ACC18 finds that the seasonal #influenza vaccine significantly reduces the ri… https://t.co/hN1WUXnJHL",FALSE,1,NA,2018-03-09 15:48:17,TRUE,NA,"972137001238573056",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","alkarimhealth",0,FALSE,FALSE,NA,NA
"16","RT @ACCmediacenter: New research from #ACC18 finds that the seasonal #influenza vaccine significantly reduces the risk of death among #hear…",FALSE,0,NA,2018-03-09 15:46:31,FALSE,NA,"972136559444193281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EverydayHealth",10,TRUE,FALSE,NA,NA
"17","RT @ClarkCountyNV: The @animalfndlv is taking steps to prevent spread of Canine Influenza Virus (CIV) so called dog flu. That includes vacc…",FALSE,0,NA,2018-03-09 14:37:28,FALSE,NA,"972119179464646657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MariaGulino1",8,TRUE,FALSE,NA,NA
"18","RT @AFHSBPAGE: Interim 2017/18 influenza seasonal #Vaccine effectiveness: combined results from five European studies 
https://t.co/m57oUbt…",FALSE,0,NA,2018-03-09 14:19:21,FALSE,NA,"972114619895394304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","libertad717",2,TRUE,FALSE,NA,NA
"19","RT @NewFdaApprovals: 103 - Envarsus for immunosuppression; Roche’s new cobas m 511 analyzer 510(k); Statement on seasonal influenza; Statem…",FALSE,0,NA,2018-03-09 14:19:09,FALSE,NA,"972114572969697285",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CancerWallonia",1,TRUE,FALSE,NA,NA
"20","103 - Envarsus for immunosuppression; Roche’s new cobas m 511 analyzer 510(k); Statement on seasonal influenza; Sta… https://t.co/yLuksfR6EC",FALSE,0,NA,2018-03-09 13:00:13,TRUE,NA,"972094706376151040",NA,"<a href=""http://libsyn.com/3/"" rel=""nofollow"">Libsyn On-Publish</a>","NewFdaApprovals",1,FALSE,FALSE,NA,NA
